"Variable","Chi_Square","df","p_value","Significant"
"tenure_group",873.86,5,"1.21e-186","✅ YES"
"tech_support",828.2,2,"1.443e-180","✅ YES"
"senior_citizen",159.43,1,"1.51e-36","✅ YES"
"online_backup",601.81,2,"2.08e-131","✅ YES"
"partner",158.73,1,"2.14e-36","✅ YES"
"monthly_charges_group",385.07,2,"2.418e-84","✅ YES"
"online_security",850,2,"2.661e-185","✅ YES"
"streaming_movies",375.66,2,"2.668e-82","✅ YES"
"has_internet",364.52,1,"2.92e-81","✅ YES"
"phone_service",0.92,1,"3.388e-01","❌ NO"
"multiple_lines",11.33,2,"3.464e-03","✅ YES"
"payment_method",648.14,3,"3.682e-140","✅ YES"
"paperless_billing",258.28,1,"4.073e-58","✅ YES"
"gender",0.48,1,"4.866e-01","❌ NO"
"dependents",189.13,1,"4.925e-43","✅ YES"
"device_protection",558.42,2,"5.505e-122","✅ YES"
"streaming_tv",374.2,2,"5.529e-82","✅ YES"
"contract",1184.6,2,"5.863e-258","✅ YES"
"internet_service",732.31,2,"9.572e-160","✅ YES"
